Date,Événement 1,Événement 2, Net sales total , Net sales QC , Net sales ROC , Net sales USA , Total Ad Spend ,ROAS global,, QC Meta Ad spend  , ROAS QC ,, USA Meta Ad Spend , ROAS USA ,, ROC Meta Ad spend  , ROAS ROC , La Presse , Autre Ad Numérique ,% pub total,% pub QC,% pub ROC,% pub USA,Website sessions,Nb. of Orders,Conv. rate,AOV,$/session,Commentaires/constats, Dépensé 2023A - FB Post Foulard  ," CPA 
2023A - FB Post Foulard ", Dépensé - 2023A - FB Post Prévente , CPA - 2023A - FB Post Prévente , Dépensé 2023A - FB Post Sac Lunch , CPA 2023A - FB Post Sac Lunch , Dépensé 2023A - APM prévente post , CPA 2023A - APM prévente post , Dépensé 2023A - FB Post Semelles ,  CPA 2023A - FB Post Semelles  , Dépensé 2023A - FB Post Bandeaux  ," CPA 
2023A - FB Post Bandeaux "
4/20/2026,,," $ 1,140.49 "," $ 1,140.49 ",,, $ 768.92 ,1.48,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2026,,, $ 793.70 , $ 793.70 ,,, $ 768.92 ,1.03,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2026,,," $ 1,019.67 "," $ 1,019.67 ",,, $ 768.92 ,1.33,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2026,,, $ 327.09 , $ 327.09 ,,, $ 768.92 ,0.43,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2026,,, $ 733.45 , $ 733.45 ,,, $ 768.92 ,0.95,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2026,,, $ 929.75 , $ 929.75 ,,, $ 768.92 ,1.21,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2026,,," $ 1,148.33 "," $ 1,148.33 ",,, $ 768.92 ,1.49,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2026,,, $ 832.34 , $ 832.34 ,,, $ 768.92 ,1.08,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2026,,, $ 357.90 , $ 357.90 ,,, $ 768.92 ,0.47,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2026,,, $ 499.21 , $ 499.21 ,,, $ 768.92 ,0.65,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2026,,, $ 361.81 , $ 361.81 ,,, $ 768.92 ,0.47,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2026,,, $ 404.05 , $ 404.05 ,,, $ 768.92 ,0.53,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2026,,," $ 3,603.54 "," $ 3,603.54 ",,, $ 768.92 ,4.69,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2026,,," $ 1,472.29 "," $ 1,472.29 ",,, $ 768.92 ,1.91,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2026,,," $ 1,367.97 "," $ 1,367.97 ",,, $ 768.92 ,1.78,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2026,,, $ 469.04 , $ 469.04 ,,, $ 768.92 ,0.61,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2026,,," $ 4,855.80 "," $ 4,855.80 ",,, $ 768.92 ,6.32,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2026,,, $ 393.55 , $ 393.55 ,,, $ 768.92 ,0.51,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2026,,, $ 783.52 , $ 783.52 ,,, $ 768.92 ,1.02,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2026,,, $ 404.01 , $ 404.01 ,,, $ 768.92 ,0.53,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2026,,, $ 631.35 , $ 631.35 ,,, $ 768.92 ,0.82,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2026,,, $ 279.21 , $ 279.21 ,,, $ 768.92 ,0.36,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2026,,, $ 103.22 , $ 103.22 ,,, $ 768.92 ,0.13,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2026,,, $ 40.80 , $ 40.80 ,,, $ 768.92 ,0.05,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2026,,, $ 163.91 , $ 163.91 ,,, $ 768.92 ,0.21,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2026,,, $ 3.99 , $ 3.99 ,,, $ 768.92 ,0.01,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2026,,, $ 80.95 , $ 80.95 ,,, $ 768.92 ,0.11,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2026,,, $ 6.99 , $ 6.99 ,,, $ 768.92 ,0.01,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2026,,, $ 436.47 , $ 436.47 ,,, $ 768.92 ,0.57,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2026,,, $ 17.79 , $ 17.79 ,,, $ 768.92 ,0.02,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2026,,, $ 30.72 , $ 30.72 ,,, $ 768.92 ,0.04,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2026,,, $ 23.97 , $ 23.97 ,,, $ 768.92 ,0.03,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2026,,, $ 245.03 , $ 245.03 ,,, $ 768.92 ,0.32,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ 62.54 , $ 62.54 ,,, $ 768.92 ,0.08,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," $ 1,067.42 "," $ 1,067.42 ",,, $ 768.92 ,1.39,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ 89.97 , $ 89.97 ,,, $ 768.92 ,0.12,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,, $ 768.92 ,0.00,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,,,#DIV/0!,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $ -   ,,,,,#DIV/0!,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
