campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01K9ADBWDM43Z3F9Z73WJ39M2R,Suivi précommande Acheteur #2,email,"November 05, 2025, 16:47",522,521,0.86756,0.14779,6,0.01152,672.42,112.07,1.29063,0.00576,0
01KC7H1S193XYKGE1VR883WGKW,Clone Suivi commandes + excuses,email,"December 12, 2025, 14:13",1073,1071,0.88049,0,4,0.00373,590.89001,147.7225,0.55172,0.00373,0
01K9B5V4BP3PGMYH0DHN2S59J7,Clone Suivi précommande Acheteur #2,email,"November 05, 2025, 23:33",172,171,0.87135,0.29825,2,0.0117,527.66,263.83,3.08573,0,0
01K7Y52RJB7N7BKMBWSA57D03E,Fall contest 2025,email,"October 19, 2025, 13:05",3834,3821,0.51531,0.01544,3,0.00079,506.57,168.85667,0.13258,0.01282,0
01KBFXJHXRFA9W46WQ3J1TNAG9,Vérification grandeur mitaines FR,email,"December 02, 2025, 17:04",347,345,0.90435,0.26087,4,0.01159,495.47,123.8675,1.43614,0.0029,0
01K7782BAX07V938MFYP5JHPQF,2025 (EN) Fall headbands etc.,email,"October 11, 2025, 09:00",3906,3895,0.49884,0.02003,4,0.00103,478.66,119.665,0.12289,0.0095,0.00077
01KHB6Q7GK7N6W4CBGV1C20AD4,Vente de fin de saison 2026 (#2) follow up,email,"February 14, 2026, 12:30",9704,9686,0.16137,0.01383,4,0.00041,471.86001,117.965,0.04872,0.00516,0.0001
01KACBFSZ034G8NG4RF4FT3217,Clone Follow-up fall contest + warmup EN,email,"November 19, 2025, 12:45",5456,5444,0.12564,0.00478,4,0.00073,460.13,115.0325,0.08452,0.00661,0.00092
01KRX1MBST6PSVYW6RME23NS76,Réchauffement prévente 2026 #1,email,"May 18, 2026, 11:00",20265,20259,0.53635,0.0501,7,0.00035,459.28,65.61143,0.02267,0.0075,0.00114
01K84N7TF8PQCC76T8REM00QMP,follow-up Concours automne 2025,email,"October 23, 2025, 13:45",9495,9489,0.16851,0.00685,4,0.00042,452.91,113.2275,0.04773,0.00569,0.00053
01KB3DC1H6C3RJS69PS2V1VWH9,Suivi commandes + excuses,email,"November 28, 2025, 21:00",452,450,0.90889,0.07111,2,0.00444,436.88001,218.44001,0.97084,0.00444,0
01K5J728616HC4CXNYWRPHX1YC,Suivi précommande Acheteur,email,"September 20, 2025, 12:00",188,187,0.92513,0.14439,2,0.0107,407.82,203.91,2.18086,0,0
