id	titre	handle	statut	type	tags	stock_total	url_boutique	variantes	images	collections	cree_le	maj_le
9005854195931	Semelles intérieures	semelles-interieures-isolantes-copy	DRAFT		Winter	0		9	4	Vente fin de saison: Hiver;Pour l'hiver;BFCM;Boxing week 2023	2025-10-08	2026-07-18
8081100538075	Semelles intérieures isolantes en asclépiade	thermal-insoles	ACTIVE		Winter	-86	https://lasclay.com/products/thermal-insoles	12	7	Produits;Vente fin de saison: Hiver;Pour l'hiver;BFCM;Boxing week 2023;Produits (no garden)	2023-08-31	2026-08-19
9030274646235	Semelles intérieures isolantes en asclépiade - ancienne version	semelles-interieures-isolantes-en-asclepiade-imparfait	ACTIVE		Winter	26	https://lasclay.com/products/semelles-interieures-isolantes-en-asclepiade-imparfait	9	5	Produits;Pour l'hiver;BFCM;Boxing week 2023;Les Imparfaits;Produits (no garden)	2025-11-07	2026-08-24
9177307381979	Semences d’asclépiade stratifiées à froid  - prêtes à semer	graines-semences-asclepiade-stratifiees-froid	ACTIVE		garden;graines;no-returns;Product-Collection-All	2816	https://lasclay.com/products/graines-semences-asclepiade-stratifiees-froid	27	12	Produits;Produits connexes;All Products;Pour le jardin;Semences d’asclépiade stratifiées à froid  - prêtes à semer;Matières;Milkweed & Wild flowers seed bombs	2026-03-04	2026-08-20
9183346229467	Service de plantation d'asclépiade - Biodiversité & revenus agricoles	service-plantation-asclepiade-papillons-monarques	ACTIVE			94	https://lasclay.com/products/service-plantation-asclepiade-papillons-monarques	4	12		2026-03-12	2026-07-18
8784148201691	Soie d'asclépiade pure en vrac	isolant-asclepiade-soie-amerique	ACTIVE			765	https://lasclay.com/products/isolant-asclepiade-soie-amerique	3	7	Produits;Matières;Produits (no garden)	2025-01-17	2026-08-17
8249897877723	Sous-plat	milkweed-large-trivet	DRAFT		home;Product-Collection-All	0		1	3	Produits;All Products;Pour la maison;BFCM;Boxing week 2023;Pour la cuisine;Été + Tous les jours;Produits (no garden)	2024-01-31	2026-07-30
9023272059099	Sous-verres en bois Asclépiade et Monarque - gravés au laser	sous-verre-bois-cadeau-asclepiade-monarque	ACTIVE			17	https://lasclay.com/products/sous-verre-bois-cadeau-asclepiade-monarque	3	5	Produits;Pour tous les jours;Été + Tous les jours;Collaborations;Produits (no garden)	2025-10-30	2026-07-18
8682294280411	Tuque de ville isolée à l'asclépiade	tuque-ville-asclepiade	ACTIVE		Product-Collection-All;Winter	94	https://lasclay.com/products/tuque-ville-asclepiade	3	4	Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Pour le cou;Produits d'asclépiade du printemps;Tuques et bandeaux;Produits (no garden)	2024-09-06	2026-08-19
8682305913051	Tuque sport en asclépiade	tuque-sport-asclepiade	ACTIVE		Product-Collection-All;Winter	195	https://lasclay.com/products/tuque-sport-asclepiade	2	6	Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Pour le cou;Produits d'asclépiade du printemps;Tuques et bandeaux;Produits (no garden)	2024-09-06	2026-08-19
8902817874139	Veste sans manche isolée à l'asclépiade	veste-sans-manche-asclepiade	ACTIVE		Winter	-4	https://lasclay.com/products/veste-sans-manche-asclepiade	11	11	Produits;Pour l'hiver;BFCM;Boxing week 2023;Manteaux et vestes d'asclépiade;Produits (no garden)	2025-05-28	2026-08-24
