"campaign_id","name","channel","send_time","recipients","delivered","open_rate","click_rate","conversion_uniques","conversion_value","unsubscribe_rate","spam_rate"
"01KABYEXQ5P72YFXBB8EKQHPBD","Campaign Nov 18, 2025, 11:58 AM","email","November 18, 2025, 17:50",296,296,0.93243,0,2,132.17,0.00338,0
"01KBJ9BSQX1P43WRFG6FCM3BAM","Manteaux suivi","email","December 03, 2025, 14:25",306,306,0.94118,0,3,720.72997,0.00327,0
"01KD0C0RED99XHTAF9DSGQGYK6","Suivi précommandes offre cartes","email","December 21, 2025, 12:13",573,573,0.91099,0.54974,127,692.54,0.00349,0
"01KD0DB3SJVZHEVQW9FESRFQ2H","EN Suivi commandes","email","December 21, 2025, 12:44",87,87,0.86207,0.47126,31,174.29,0.01149,0
"01KG08D41SMBX0AZDWPD9CWD3B","tuques jaunes","email","January 27, 2026, 17:45",77,77,0.8961,0,1,172.44,0.01299,0
"01KCQC4Y3QTJHNTK3AYYDEVSKS","Manteaux suivi (clone)","email","December 18, 2025, 00:14",328,328,0.90854,0,1,126.45,0,0
"01KCY4HWHQMK7W54VJ5EJHP9ES","Suivi précommandes","email","December 20, 2025, 15:15",642,642,0.91277,0,5,52.87,0,0
"01KESGP9Z1Y7N6362X5XSWDDSJ","Suivi précommandes","email","January 12, 2026, 16:43",206,206,0.92718,0,2,126.45,0,0
"01K7A06TW1GGD89WRQ26FSQCEW","[Follow-up] 2025 (EN) Fall headbands etc.","email","October 18, 2025, 09:00",49,49,0.42857,0.02041,0,0,0,0
"01K8BY8BHP3KE3QQN03SPSHWEH","Suivi manteaux oct","email","October 25, 2025, 12:00",270,270,0.88889,0,0,0,0,0
"01KA1SGBP1CHPZNVM2FKHKEXSM","défricheuses","email","November 14, 2025, 18:50",12,12,0.91667,0.66667,0,0,0,0
"01KABWRGVVSBKMV3K00EZN7Q3P","EN Retard mitaines urbaines","email","November 18, 2025, 16:49",12,12,1,0.08333,0,0,0,0
"01KAC1E4SAS262X55W9G1FDV2B","Manteaux suivi EN","email","November 18, 2025, 17:56",10,10,0.9,0.1,0,0,0,0
"01KCKWCJTFRWDRZ4GPAGR1KHNN","Manteaux suivi","email","December 16, 2025, 17:25",325,325,0.90462,0,0,0,0,0
"01KCM37M3FH4JCASEMTS0DT3J0","EN Manteaux suivi","email","December 17, 2025, 01:58",14,14,0.85714,0,0,0,0,0
"01KG08ZDR4T9AKMDQJMB6AE9D8","yellow beanies","email","January 27, 2026, 17:47",5,5,1,0,0,0,0,0
